best_oa_location_landing_page_url,grants_funder_display_name,grants_award_id
https://doi.org/10.1103/prxquantum.5.010201,National Science Foundation|National Science Foundation,PHY-1748958|PHY-1607611
https://doi.org/10.1016/j.jcta.2023.105802,National Science Foundation|Knut och Alice Wallenbergs Stiftelse,DMS-1440140|null
https://doi.org/10.1103/physrevlett.132.081801,"National Science Foundation|U.S. Department of Energy|Alexander von Humboldt-Stiftung|Canarie|“la Caixa” Foundation|TRIUMF|CERN|Compute Canada|Centres de Recerca de Catalunya|Azərbaycan Milli Elmlər Akademiyası|Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu|Canada Foundation for Innovation|Leverhulme Trust|Royal Society|European Commission|European Cooperation in Science and Technology|National Research Foundation|Helmholtz-Gemeinschaft|Deutsche Forschungsgemeinschaft|Agence Nationale de la Recherche|Ministry of Education, Culture, Sports, Science and Technology|Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung|Danmarks Grundforskningsfond|German-Israeli Foundation for Scientific Research and Development|United States-Israel Binational Science Foundation|Canada Research Chairs|Fundação de Amparo à Pesquisa do Estado de São Paulo|National Natural Science Foundation of China|Ministerstvo Školství, Mládeže a Tělovýchovy|Bundesministerium für Bildung und Forschung|Chinese Academy of Sciences|Austrian Science Fund|Generalitat de Catalunya|Ministry of Science and Technology of the People's Republic of China|Nederlandse Organisatie voor Wetenschappelijk Onderzoek|Bundesministerium für Wissenschaft, Forschung und Wirtschaft|Göran Gustafssons Stiftelse för Naturvetenskaplig och Medicinsk Forskning|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Nella and Leon Benoziyo Center for Neurological Diseases, Weizmann Institute of Science|Israel Science Foundation|Knut och Alice Wallenbergs Stiftelse|Max-Planck-Gesellschaft|Narodowe Centrum Nauki|Javna Agencija za Raziskovalno Dejavnost RS|Ministry of Science and Technology, Taiwan|Ministerio de Ciencia e Innovación|Norges Forskningsråd|Centre National pour la Recherche Scientifique et Technique|Services Fédéraux des Affaires Scientifiques, Techniques et Culturelles|Narodowa Agencja Wymiany Akademickiej|Agencia Nacional de Investigación y Desarrollo|Horizon 2020 Framework Programme|Natural Sciences and Engineering Research Council of Canada|National Research Council Canada|Science and Technology Facilities Council|Australian Research Council|Japan Society for the Promotion of Science|Fundação para a Ciência e a Tecnologia|Agencia Nacional de Promoción Científica y Tecnológica|Instituto Nazionale di Fisica Nucleare|British Columbia Knowledge Development Fund|European Regional Development Fund|Institut National de Physique Nucléaire et de Physique des Particules|European Social Fund|Brookhaven National Laboratory|H2020 European Research Council|H2020 Marie Skłodowska-Curie Actions",null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
https://doi.org/10.1103/physrevlett.132.021802,"National Science Foundation|U.S. Department of Energy|Alexander von Humboldt-Stiftung|Canarie|“la Caixa” Foundation|TRIUMF|CERN|Compute Canada|Centres de Recerca de Catalunya|Azərbaycan Milli Elmlər Akademiyası|Türkiye Enerji, Nükleer ve Maden Araştırma Kurumu|Canada Foundation for Innovation|Leverhulme Trust|Royal Society|European Commission|European Cooperation in Science and Technology|National Research Foundation|Helmholtz-Gemeinschaft|Deutsche Forschungsgemeinschaft|Agence Nationale de la Recherche|Ministry of Education, Culture, Sports, Science and Technology|Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung|Danmarks Grundforskningsfond|German-Israeli Foundation for Scientific Research and Development|United States-Israel Binational Science Foundation|Canada Research Chairs|Fundação de Amparo à Pesquisa do Estado de São Paulo|National Natural Science Foundation of China|Ministerstvo Školství, Mládeže a Tělovýchovy|Bundesministerium für Bildung und Forschung|Chinese Academy of Sciences|Austrian Science Fund|Generalitat de Catalunya|Ministry of Science and Technology of the People's Republic of China|Nederlandse Organisatie voor Wetenschappelijk Onderzoek|Bundesministerium für Wissenschaft, Forschung und Wirtschaft|Göran Gustafssons Stiftelse för Naturvetenskaplig och Medicinsk Forskning|Conselho Nacional de Desenvolvimento Científico e Tecnológico|Israel Science Foundation|Knut och Alice Wallenbergs Stiftelse|Max-Planck-Gesellschaft|Narodowe Centrum Nauki|Javna Agencija za Raziskovalno Dejavnost RS|Ministry of Science and Technology, Taiwan|Ministerio de Ciencia e Innovación|Norges Forskningsråd|Centre National pour la Recherche Scientifique et Technique|Narodowa Agencja Wymiany Akademickiej|Agencia Nacional de Investigación y Desarrollo|Horizon 2020 Framework Programme|Natural Sciences and Engineering Research Council of Canada|National Research Council Canada|Science and Technology Facilities Council|Australian Research Council|Japan Society for the Promotion of Science|Fundação para a Ciência e a Tecnologia|Agencia Nacional de Promoción Científica y Tecnológica|Instituto Nazionale di Fisica Nucleare|British Columbia Knowledge Development Fund|European Regional Development Fund|Institut National de Physique Nucléaire et de Physique des Particules|European Social Fund|Brookhaven National Laboratory|H2020 European Research Council|H2020 Marie Skłodowska-Curie Actions",null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
,National Science Foundation|Fundação de Amparo à Pesquisa do Estado de São Paulo,CHE-1856484|2022/00257-0 and 2019/23205-3
https://doi.org/10.1038/s41467-024-45196-0,National Science Foundation|Human Frontier Science Program|National Institutes of Health,NSF-MBC2222076|RGY0074/2021|T32 AI 141393
,National Science Foundation|National Science Foundation,DMR-1933525|OAC-1920147
https://doi.org/10.1016/j.disc.2023.113687,National Science Foundation|U.S. Department of Education,DMS-2154242|P200a120007
,National Science Foundation|National Science Foundation|Simons Foundation|Oak Ridge Associated Universities,DMS-1855536|DMS-2154019|634530|null
,National Science Foundation|National Science Foundation|National Science Foundation,CBET-2227361|MRSEC DMR-2011846|PHY-1748958
https://doi.org/10.1016/j.worlddev.2023.106518,National Science Foundation|National Science Foundation|National Science Foundation|National Science Foundation|National Science Foundation|National Science Foundation|World Bank Group,0111905|0552296|0078801|0104575|0200767|0650378|null
https://doi.org/10.1016/j.isci.2024.108874,"National Science Foundation|National Science Foundation|National Science Foundation|Simons Foundation|College of Liberal Arts, Rochester Institute of Technology|National Institutes of Health|National Institute of General Medical Sciences",MRSEC DMR-2011846|DGE-2146755|DMR-1610737|null|null|R35GM147556|null
,National Science Foundation|National Institutes of Health,OAC-1920147|R01GM108021
,National Science Foundation|U.S. Department of Energy|U.S. Department of Energy|Simons Foundation|Air Force Office of Scientific Research,2210562|DE-SC0022102|DE-SC0009986|null|FA9550-19-1-0360
,National Science Foundation|U.S. Department of Energy|University of Maryland|Joint Quantum Institute|Office of Science|Basic Energy Sciences|Air Force Office of Scientific Research,DGE 2236417|DE-SC0001911|null|null|null|null|FA9550-19-1-0360
,National Science Foundation,DMR-2217543
https://doi.org/10.1103/physrevfluids.9.053902,National Science Foundation|U.S. Department of Energy|Office of Science|Basic Energy Sciences,NSF-DMR 2011854|DE-SC0020972|null|null
https://doi.org/10.1038/s42003-024-06203-8,National Science Foundation|National Institute of General Medical Sciences,DMS 1951369|R01GM152811
,National Science Foundation|Goldsmith Family Foundation|Human Frontier Science Program,DMR-2143670|null|null
https://doi.org/10.1103/physrevx.14.021027,"National Science Foundation|Agency for Science, Technology and Research|Cornell Center for Materials Research|Materials Research Science and Engineering Center, Harvard University|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems|Division of Chemical, Bioengineering, Environmental, and Transport Systems",DGE-2139899|null|null|DMR-1719875|1804963|DMR-2327094|DMR-1507607|1509308|2228681
,National Science Foundation,1726346
